source_id,ra,dec,pmra,pmdec,parallax_error,phot_g_n_obs,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
2057392555740187904,304.0337843459864,35.71034045728046,NULL,NULL,NULL,0,NULL,NULL,19.910542
2057394136292401920,303.77834246015124,35.66179204404057,NULL,NULL,NULL,72,20.323849,NULL,NULL
2057394823482315520,303.8555772203938,35.72819241863483,NULL,NULL,NULL,82,20.973406,NULL,NULL
2057395609460722816,303.93603598990995,35.75866541888716,NULL,NULL,NULL,70,21.16918,NULL,19.894201
2057396365374952192,303.8812894759162,35.775522147278906,NULL,NULL,NULL,105,20.949646,NULL,NULL
2057396404029330816,303.91236769383636,35.76790068825796,NULL,NULL,NULL,82,20.906929,NULL,NULL
2057397675340258304,304.08797607045403,35.72282735986937,NULL,NULL,NULL,69,20.983828,NULL,NULL
2057398912290944512,304.06375765084033,35.79872344612495,NULL,NULL,NULL,56,20.38722,NULL,NULL
2057399015370107648,304.0953649764906,35.79085578898724,NULL,NULL,NULL,0,NULL,NULL,20.166672
2057399973146027264,304.19252856247977,35.838859879245824,NULL,NULL,NULL,70,20.856865,NULL,NULL
2057399977443379840,304.19015696952533,35.82761128769963,NULL,NULL,NULL,0,NULL,NULL,19.909184
2057401867229168256,304.006333478831,35.80901251897605,NULL,NULL,NULL,67,21.035236,NULL,NULL
2057402210826670976,304.02581190692,35.84369699534118,NULL,NULL,NULL,50,21.042685,NULL,NULL
2057402623143269248,304.04243253348955,35.865137462000355,NULL,NULL,NULL,50,21.085678,NULL,NULL
2057403241618761984,303.94403491836283,35.87486459761177,NULL,NULL,NULL,73,21.165173,NULL,NULL
2057403482136352256,304.00413997649724,35.897648579504974,NULL,NULL,NULL,68,20.968609,NULL,NULL
2057404993965135872,304.13947192300134,35.98900634300107,NULL,NULL,NULL,164,20.287651,NULL,NULL
2057407296072726272,304.424476290056,35.76079800184684,NULL,NULL,NULL,89,19.804035,NULL,NULL
2057407536586473472,304.38110804658584,35.76841959180489,NULL,NULL,NULL,110,21.015528,NULL,NULL
2057409873050273664,304.4961686016366,35.88330244199661,NULL,NULL,NULL,85,21.033018,NULL,NULL
2057410182286384768,304.5784701470763,35.919021217175946,NULL,NULL,NULL,75,20.848337,NULL,NULL
2057410869481886080,304.355153346945,35.82388205249005,NULL,NULL,NULL,96,17.824327,NULL,NULL
2057411041280642304,304.3534817936366,35.85448035951382,NULL,NULL,NULL,112,20.878143,NULL,NULL
2057411625396295424,304.4022121694766,35.90029021676576,NULL,NULL,NULL,55,20.847387,NULL,NULL
2057412209511795456,304.36753562110323,35.88041141827484,NULL,NULL,NULL,42,20.983835,NULL,NULL
2057412278231297792,304.35070949477233,35.89533659122653,NULL,NULL,NULL,111,20.760315,NULL,NULL
2057420455852992640,304.50379449221214,36.01671406468382,NULL,NULL,NULL,43,21.173552,NULL,NULL
2057422788014815104,304.60161192316946,36.13708769415402,NULL,NULL,NULL,44,21.100563,NULL,19.800686
2057423445145495936,304.65457078047785,36.202560884530165,NULL,NULL,NULL,53,20.609627,NULL,NULL
2057427259077453568,304.3399567578612,36.05011849624931,NULL,NULL,NULL,123,20.919052,NULL,NULL
2057428800964203264,304.2368442000231,36.04736937719267,NULL,NULL,NULL,332,20.003708,NULL,NULL
2057429183223666560,304.2256287595302,36.07752249641792,NULL,NULL,NULL,68,20.927193,NULL,NULL
2057429664259895552,304.14947142117177,36.068305817953885,NULL,NULL,NULL,50,21.229874,NULL,NULL
2057430317097884032,304.18853419419395,36.14177883640093,NULL,NULL,NULL,46,20.945036,NULL,20.180212
2057431103071434112,304.3259011051907,36.14207539182338,NULL,NULL,NULL,0,NULL,NULL,19.880728
2057432069440253312,304.2648742865921,36.160217703593496,NULL,NULL,NULL,71,20.675997,NULL,NULL
2057432378681978496,304.25932095165746,36.209477020883284,NULL,NULL,NULL,0,NULL,NULL,NULL
2057433168952534528,304.47868309723793,36.12325670821604,NULL,NULL,NULL,124,20.776081,NULL,NULL
2057439937821174784,304.5175328109253,36.34870531526799,NULL,NULL,NULL,85,20.98303,NULL,19.73209
2057440143978880256,304.5034316049095,36.35996422528632,NULL,NULL,NULL,45,20.814964,NULL,NULL
2057440831173443328,304.46709821341443,36.35312692879409,NULL,NULL,NULL,254,20.440025,NULL,NULL
2057440934256776320,304.47180915241336,36.36839456141878,NULL,NULL,NULL,53,20.805676,NULL,NULL
2057441037333161984,304.47544071650293,36.38629194070658,NULL,NULL,NULL,92,20.898712,NULL,NULL
2057442205555080320,305.1895739985948,35.7684027241535,NULL,NULL,NULL,69,20.80748,NULL,NULL
2057442961471010944,305.11221017223806,35.81255513731614,NULL,NULL,NULL,114,21.02101,NULL,NULL
2057443408148298368,305.1541009920225,35.82747014692648,NULL,NULL,NULL,41,21.201103,NULL,20.045004
2057444198421401728,305.2846341919953,35.862597042287824,NULL,NULL,NULL,40,21.198246,NULL,20.618555
2057445710248527616,305.2476935522071,35.948966237182354,NULL,NULL,NULL,109,20.928322,NULL,NULL
2057445877756737664,305.09397228242585,35.804442684386686,NULL,NULL,NULL,77,20.927542,NULL,NULL
2057446328725348864,305.13090259122026,35.84703906841346,NULL,NULL,NULL,89,20.893753,NULL,NULL
2057447737473413504,305.03262044155474,35.912977919887226,NULL,NULL,NULL,61,19.941414,NULL,NULL
2057448115431658624,305.1934655782084,35.920825066941525,NULL,NULL,NULL,37,21.148085,NULL,NULL
2057448149790038528,305.1625706782102,35.91019130014562,NULL,NULL,NULL,36,20.987192,NULL,NULL
2057448386017759104,305.16637963763327,35.941295167252306,NULL,NULL,NULL,0,NULL,NULL,19.787767
2057448836985618944,305.1699183312436,35.9577971504218,NULL,NULL,NULL,65,20.850164,NULL,NULL
2057449111862850944,305.1004159446424,35.9338337965028,NULL,NULL,NULL,50,21.132145,NULL,NULL
